Personid,Sex,Age group,Ethnicity,Qualification,Work and labour force status,Personal income,Hours worked,Main means of travel to work,Cigarette smoking status,Access to a cellphone /mobile phone,Access to the Internet,meshblock
346,Female,55-64 Years,European,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",50 Hours or More,Public Transport,Ex-Smoker,Yes,No,MB02
347,Male,35-44 Years,Other Ethnicity,School Qualification,Not Employed,"$20,001 - $30,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,No,MB02
348,Female,35-44 Years,European,School Qualification,Not Employed,"$ 5,001 - $10,000",Not Employed,Not Employed,Never Smoked Regularly,No,Yes,MB02
349,Female,15-24 Years,European,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,Yes,No,MB02
350,Female,15-24 Years,Asian,University Degree or Higher,Employed Full-time,"$10,001 - $20,000",20-29 Hours,Public Transport,Never Smoked Regularly,Yes,Yes,MB02
351,Male,25-34 Years,Maori,School Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,Yes,MB02
352,Female,15-24 Years,European,School Qualification,Employed Part-time,"$ 5,000 or Less",1-19 Hours,Public Transport,Never Smoked Regularly,Yes,Yes,MB02
353,Female,25-34 Years,European,School Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,No,MB02
354,Female,25-34 Years,European,Trade or Vocational,Not Employed,"$20,001 - $30,000",Not Employed,Not Employed,Ex-Smoker,Yes,Yes,MB02
355,Female,15-24 Years,European,No Qualification,Employed Full-time,"$ 5,001 - $10,000",30-39 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB02
356,Female,45-54 Years,Asian,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",30-39 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB02
357,Female,35-44 Years,Asian,Trade or Vocational,Employed Full-time,"$ 5,000 or Less",50 Hours or More,"Drove a Car, Truck or Van",Regular Smoker,No,Yes,MB02
358,Female,35-44 Years,Maori,Trade or Vocational,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB02
359,Male,55-64 Years,European,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB02
360,Male,35-44 Years,Other Ethnicity,University Degree or Higher,Employed Full-time,"$30,001 - $50,000",1-19 Hours,Bicycle,Never Smoked Regularly,Yes,No,MB02
361,Female,55-64 Years,European,School Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB02
362,Female,45-54 Years,European,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB02
363,Male,55-64 Years,European,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Ex-Smoker,No,Yes,MB02
364,Male,25-34 Years,Asian,School Qualification,Not Employed,"$ 5,001 - $10,000",Not Employed,Not Employed,Regular Smoker,No,No,MB02
365,Female,45-54 Years,European,School Qualification,Employed Full-time,"$30,001 - $50,000",50 Hours or More,Did Not Travel to Work,Never Smoked Regularly,Yes,No,MB02
366,Female,35-44 Years,Pacific Peoples,School Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB02
367,Male,65 Years and Over,European,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,No,MB02
368,Female,45-54 Years,Asian,No Qualification,Employed Full-time,"$ 5,000 or Less",50 Hours or More,"Drove a Car, Truck or Van",Never Smoked Regularly,No,No,MB02
369,Female,45-54 Years,Asian,School Qualification,Employed Part-time,"$10,001 - $20,000",1-19 Hours,Walked or Jogged,Never Smoked Regularly,Yes,Yes,MB02
370,Female,15-24 Years,Asian,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB02
371,Female,45-54 Years,European,Trade or Vocational,Employed Full-time,"$20,001 - $30,000",50 Hours or More,"Drove a Car, Truck or Van",Ex-Smoker,Yes,Yes,MB02
372,Female,25-34 Years,Asian,School Qualification,Employed Full-time,"$ 5,001 - $10,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB02
373,Female,25-34 Years,Pacific Peoples,School Qualification,Not Employed,"$20,001 - $30,000",Not Employed,Not Employed,Regular Smoker,No,Yes,MB02
374,Female,25-34 Years,European,University Degree or Higher,Employed Full-time,"$30,001 - $50,000",50 Hours or More,Walked or Jogged,Never Smoked Regularly,Yes,Yes,MB02
375,Male,45-54 Years,European,School Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,Yes,MB02
376,Male,65 Years and Over,European,No Qualification,Employed Full-time,"$10,001 - $20,000",40-49 Hours,Did Not Travel to Work,Never Smoked Regularly,Yes,No,MB02
377,Female,25-34 Years,Maori,School Qualification,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB02
378,Female,35-44 Years,Maori,School Qualification,Employed Part-time,"$ 5,000 or Less",50 Hours or More,Public Transport,Never Smoked Regularly,Yes,Yes,MB02
379,Male,55-64 Years,European,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB02
380,Male,25-34 Years,Pacific Peoples,No Qualification,Not Employed,"$20,001 - $30,000",Not Employed,Not Employed,Regular Smoker,Yes,No,MB02
381,Male,45-54 Years,European,School Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB02
382,Male,15-24 Years,Asian,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB02
383,Female,45-54 Years,Asian,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,No,Yes,MB02
384,Male,55-64 Years,Asian,University Degree or Higher,Employed Full-time,"$20,001 - $30,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB02
385,Female,45-54 Years,Pacific Peoples,School Qualification,Employed Part-time,"$ 5,000 or Less",30-39 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,Yes,MB02
386,Female,25-34 Years,European,University Degree or Higher,Employed Full-time,"$20,001 - $30,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB02
387,Female,15-24 Years,European,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Ex-Smoker,Yes,No,MB02
388,Male,25-34 Years,Asian,Trade or Vocational,Employed Full-time,"$20,001 - $30,000",40-49 Hours,Walked or Jogged,Never Smoked Regularly,Yes,Yes,MB02
389,Male,45-54 Years,European,Trade or Vocational,Employed Full-time,"$50,001 or More",20-29 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB02
390,Male,35-44 Years,Pacific Peoples,School Qualification,Employed Full-time,"$50,001 or More",30-39 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,No,No,MB02
391,Male,35-44 Years,European,University Degree or Higher,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Ex-Smoker,No,Yes,MB02
392,Male,45-54 Years,Asian,School Qualification,Employed Full-time,"$20,001 - $30,000",50 Hours or More,Did Not Travel to Work,Never Smoked Regularly,Yes,Yes,MB02
393,Male,25-34 Years,Asian,School Qualification,Employed Full-time,"$20,001 - $30,000",40-49 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,Yes,MB02
394,Female,45-54 Years,European,No Qualification,Employed Full-time,"$30,001 - $50,000",30-39 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB02
395,Male,45-54 Years,European,School Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB02
396,Female,15-24 Years,Asian,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,Yes,No,MB02
397,Male,35-44 Years,European,School Qualification,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Ex-Smoker,Yes,Yes,MB02
398,Male,55-64 Years,European,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",40-49 Hours,Did Not Travel to Work,Never Smoked Regularly,Yes,Yes,MB02
399,Female,45-54 Years,Asian,School Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB02
400,Female,45-54 Years,European,Trade or Vocational,Not Employed,"$30,001 - $50,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB02
401,Female,15-24 Years,Asian,University Degree or Higher,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB02
402,Male,55-64 Years,European,School Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB02
403,Female,15-24 Years,European,School Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Regular Smoker,Yes,No,MB02
404,Male,35-44 Years,Asian,University Degree or Higher,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB02
405,Male,25-34 Years,Asian,University Degree or Higher,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB02
406,Female,45-54 Years,European,School Qualification,Employed Part-time,"$50,001 or More",40-49 Hours,Did Not Travel to Work,Never Smoked Regularly,Yes,Yes,MB02
407,Male,35-44 Years,Other Ethnicity,School Qualification,Not Employed,"$20,001 - $30,000",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB02
408,Male,35-44 Years,Asian,School Qualification,Employed Full-time,"$20,001 - $30,000",1-19 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB02
409,Female,65 Years and Over,European,University Degree or Higher,Employed Full-time,"$10,001 - $20,000",20-29 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB02
410,Female,45-54 Years,European,School Qualification,Employed Full-time,"$50,001 or More",50 Hours or More,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB02
411,Male,45-54 Years,European,University Degree or Higher,Employed Full-time,"$50,001 or More",50 Hours or More,"Drove a Car, Truck or Van",Ex-Smoker,Yes,Yes,MB02
412,Male,45-54 Years,European,Trade or Vocational,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,Yes,MB02
413,Male,45-54 Years,European,Trade or Vocational,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB02
414,Male,45-54 Years,Asian,University Degree or Higher,Employed Full-time,"$50,001 or More",50 Hours or More,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB02
415,Female,35-44 Years,Maori,No Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,Yes,No,MB02
416,Female,45-54 Years,European,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",1-19 Hours,Did Not Travel to Work,Never Smoked Regularly,Yes,Yes,MB02
417,Female,25-34 Years,Pacific Peoples,No Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,Yes,No,MB02
418,Male,15-24 Years,European,No Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB02
419,Female,35-44 Years,European,School Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB02
420,Female,35-44 Years,Maori,No Qualification,Employed Full-time,"$20,001 - $30,000",30-39 Hours,Public Transport,Never Smoked Regularly,No,Yes,MB02
421,Male,45-54 Years,European,School Qualification,Not Employed,"$20,001 - $30,000",Not Employed,Not Employed,Never Smoked Regularly,No,No,MB02
422,Female,55-64 Years,European,University Degree or Higher,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Ex-Smoker,Yes,Yes,MB02
423,Male,45-54 Years,European,University Degree or Higher,Employed Full-time,"$50,001 or More",50 Hours or More,"Drove a Car, Truck or Van",Regular Smoker,Yes,Yes,MB02
424,Male,45-54 Years,European,Trade or Vocational,Employed Full-time,"$50,001 or More",50 Hours or More,"Drove a Car, Truck or Van",Ex-Smoker,Yes,No,MB02
425,Female,25-34 Years,Maori,University Degree or Higher,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Regular Smoker,No,No,MB02
426,Female,45-54 Years,European,Trade or Vocational,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB02
427,Male,45-54 Years,European,School Qualification,Employed Full-time,"$50,001 or More",50 Hours or More,"Drove a Car, Truck or Van",Ex-Smoker,No,No,MB02
428,Female,35-44 Years,Asian,School Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB02
429,Female,45-54 Years,Maori,No Qualification,Employed Part-time,"$10,001 - $20,000",30-39 Hours,Did Not Travel to Work,Regular Smoker,Yes,No,MB02
430,Female,55-64 Years,European,University Degree or Higher,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB02
431,Female,25-34 Years,European,University Degree or Higher,Not Employed,"$30,001 - $50,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB02
432,Female,45-54 Years,European,Trade or Vocational,Not Employed,"$ 5,001 - $10,000",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB02
433,Male,55-64 Years,Asian,University Degree or Higher,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Regular Smoker,Yes,No,MB02
434,Male,25-34 Years,European,University Degree or Higher,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,Yes,MB02
435,Male,65 Years and Over,European,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",40-49 Hours,Did Not Travel to Work,Ex-Smoker,Yes,No,MB02
436,Male,15-24 Years,European,No Qualification,Employed Full-time,"$50,001 or More",40-49 Hours,"Passenger in a Car, Truck, Van or Company Bus",Ex-Smoker,Yes,Yes,MB03
437,Female,15-24 Years,Asian,No Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB03
438,Male,15-24 Years,Asian,School Qualification,Employed Full-time,"$ 5,000 or Less",40-49 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,No,MB03
439,Male,35-44 Years,European,No Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,Yes,No,MB03
440,Male,35-44 Years,European,No Qualification,Employed Full-time,"$30,001 - $50,000",50 Hours or More,Did Not Travel to Work,Regular Smoker,Yes,Yes,MB03
441,Female,45-54 Years,Asian,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,Yes,No,MB03
442,Female,15-24 Years,European,School Qualification,Employed Part-time,"$10,001 - $20,000",30-39 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB03
443,Female,55-64 Years,Pacific Peoples,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,No,MB03
444,Male,35-44 Years,Other Ethnicity,University Degree or Higher,Employed Full-time,"$50,001 or More",50 Hours or More,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB03
445,Male,25-34 Years,Pacific Peoples,Trade or Vocational,Employed Full-time,"$20,001 - $30,000",40-49 Hours,Walked or Jogged,Never Smoked Regularly,Yes,No,MB03
446,Female,25-34 Years,European,Trade or Vocational,Not Employed,"$50,001 or More",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB03
447,Female,35-44 Years,European,School Qualification,Not Employed,"$20,001 - $30,000",Not Employed,Not Employed,Ex-Smoker,Yes,Yes,MB03
448,Female,15-24 Years,European,School Qualification,Employed Part-time,"$20,001 - $30,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB03
449,Male,35-44 Years,Maori,School Qualification,Employed Full-time,"$10,001 - $20,000",30-39 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,No,MB03
450,Male,15-24 Years,European,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB03
451,Female,25-34 Years,European,School Qualification,Not Employed,"$30,001 - $50,000",Not Employed,Not Employed,Ex-Smoker,Yes,No,MB03
452,Female,35-44 Years,European,University Degree or Higher,Employed Full-time,"$30,001 - $50,000",40-49 Hours,Public Transport,Regular Smoker,Yes,No,MB03
453,Female,45-54 Years,European,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",30-39 Hours,"Passenger in a Car, Truck, Van or Company Bus",Regular Smoker,Yes,Yes,MB03
454,Female,45-54 Years,European,University Degree or Higher,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB03
455,Female,35-44 Years,European,University Degree or Higher,Employed Full-time,"$30,001 - $50,000",20-29 Hours,Did Not Travel to Work,Never Smoked Regularly,Yes,Yes,MB03
456,Male,25-34 Years,Pacific Peoples,School Qualification,Employed Full-time,"$ 5,000 or Less",1-19 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,Yes,MB03
457,Male,65 Years and Over,Pacific Peoples,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Regular Smoker,No,Yes,MB03
458,Female,55-64 Years,Pacific Peoples,No Qualification,Not Employed,"$20,001 - $30,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB03
459,Female,25-34 Years,European,School Qualification,Not Employed,"$30,001 - $50,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB03
460,Female,35-44 Years,Asian,Trade or Vocational,Employed Full-time,"$10,001 - $20,000",40-49 Hours,Did Not Travel to Work,Never Smoked Regularly,Yes,No,MB03
461,Female,15-24 Years,Asian,School Qualification,Employed Part-time,"$ 5,001 - $10,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB03
462,Female,35-44 Years,Pacific Peoples,No Qualification,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB03
463,Female,25-34 Years,Maori,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,No,MB03
464,Female,35-44 Years,Maori,No Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Regular Smoker,Yes,No,MB03
465,Female,15-24 Years,European,School Qualification,Not Employed,"$ 5,001 - $10,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB03
466,Male,35-44 Years,European,School Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,Did Not Travel to Work,Regular Smoker,Yes,Yes,MB03
467,Female,25-34 Years,Pacific Peoples,School Qualification,Not Employed,"$ 5,001 - $10,000",Not Employed,Not Employed,Regular Smoker,No,No,MB03
468,Female,25-34 Years,Pacific Peoples,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",30-39 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB03
469,Male,45-54 Years,Asian,University Degree or Higher,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB03
470,Female,15-24 Years,European,University Degree or Higher,Employed Full-time,"$30,001 - $50,000",20-29 Hours,"Passenger in a Car, Truck, Van or Company Bus",Never Smoked Regularly,Yes,Yes,MB03
471,Female,15-24 Years,European,School Qualification,Employed Part-time,"$20,001 - $30,000",20-29 Hours,"Drove a Car, Truck or Van",Ex-Smoker,Yes,Yes,MB03
472,Female,25-34 Years,European,University Degree or Higher,Employed Full-time,"$50,001 or More",50 Hours or More,Public Transport,Never Smoked Regularly,Yes,Yes,MB03
473,Female,45-54 Years,Maori,No Qualification,Not Employed,"$20,001 - $30,000",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB03
474,Male,55-64 Years,European,University Degree or Higher,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB03
475,Female,35-44 Years,Asian,School Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB03
476,Male,35-44 Years,Other Ethnicity,University Degree or Higher,Employed Full-time,"$50,001 or More",20-29 Hours,"Drove a Car, Truck or Van",Ex-Smoker,Yes,Yes,MB03
477,Male,55-64 Years,European,University Degree or Higher,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Regular Smoker,No,Yes,MB03
478,Female,25-34 Years,European,Trade or Vocational,Employed Full-time,"$20,001 - $30,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB03
479,Male,45-54 Years,Pacific Peoples,School Qualification,Employed Full-time,"$50,001 or More",40-49 Hours,Did Not Travel to Work,Never Smoked Regularly,No,No,MB03
480,Male,25-34 Years,Pacific Peoples,No Qualification,Not Employed,"$20,001 - $30,000",Not Employed,Not Employed,Regular Smoker,No,No,MB03
481,Female,15-24 Years,Maori,No Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Regular Smoker,Yes,Yes,MB03
482,Male,35-44 Years,Asian,University Degree or Higher,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB03
483,Male,55-64 Years,European,School Qualification,Not Employed,"$20,001 - $30,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,No,MB03
484,Male,45-54 Years,Asian,University Degree or Higher,Employed Full-time,"$50,001 or More",50 Hours or More,"Drove a Car, Truck or Van",Ex-Smoker,Yes,No,MB03
485,Female,55-64 Years,Asian,School Qualification,Not Employed,"$ 5,000 or Less",Not Employed,Not Employed,Never Smoked Regularly,Yes,No,MB03
486,Female,65 Years and Over,Pacific Peoples,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,No,No,MB03
487,Female,25-34 Years,Asian,University Degree or Higher,Employed Full-time,"$20,001 - $30,000",30-39 Hours,Walked or Jogged,Never Smoked Regularly,Yes,Yes,MB03
488,Female,25-34 Years,European,School Qualification,Employed Full-time,"$10,001 - $20,000",20-29 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB03
489,Female,35-44 Years,European,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",30-39 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB03
490,Male,45-54 Years,European,School Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Ex-Smoker,Yes,Yes,MB03
491,Male,65 Years and Over,European,Trade or Vocational,Not Employed,"$20,001 - $30,000",Not Employed,Not Employed,Ex-Smoker,No,Yes,MB03
492,Female,55-64 Years,European,School Qualification,Employed Full-time,"$20,001 - $30,000",20-29 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB03
493,Female,45-54 Years,European,Trade or Vocational,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Ex-Smoker,Yes,Yes,MB03
494,Female,35-44 Years,Asian,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,Yes,Yes,MB03
495,Male,35-44 Years,Other Ethnicity,Trade or Vocational,Employed Part-time,"$10,001 - $20,000",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB03
496,Male,35-44 Years,European,Trade or Vocational,Employed Part-time,"$ 5,000 or Less",40-49 Hours,"Drove a Car, Truck or Van",Ex-Smoker,No,Yes,MB03
497,Male,35-44 Years,Other Ethnicity,School Qualification,Employed Full-time,"$30,001 - $50,000",30-39 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,Yes,MB03
498,Female,15-24 Years,Maori,School Qualification,Employed Full-time,"$ 5,001 - $10,000",1-19 Hours,Walked or Jogged,Regular Smoker,Yes,Yes,MB03
499,Female,25-34 Years,European,University Degree or Higher,Employed Part-time,"$ 5,000 or Less",50 Hours or More,Did Not Travel to Work,Never Smoked Regularly,Yes,Yes,MB03
500,Male,25-34 Years,European,School Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Ex-Smoker,No,Yes,MB03
501,Female,25-34 Years,Pacific Peoples,School Qualification,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,No,MB03
502,Male,15-24 Years,European,Trade or Vocational,Employed Full-time,"$20,001 - $30,000",30-39 Hours,"Drove a Car, Truck or Van",Regular Smoker,Yes,Yes,MB03
503,Male,45-54 Years,European,University Degree or Higher,Employed Full-time,"$50,001 or More",40-49 Hours,Public Transport,Regular Smoker,Yes,Yes,MB03
504,Male,45-54 Years,European,Trade or Vocational,Employed Full-time,"$50,001 or More",50 Hours or More,"Passenger in a Car, Truck, Van or Company Bus",Regular Smoker,Yes,Yes,MB03
505,Female,65 Years and Over,European,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",30-39 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB03
506,Female,25-34 Years,Pacific Peoples,School Qualification,Not Employed,"$30,001 - $50,000",Not Employed,Not Employed,Never Smoked Regularly,No,Yes,MB03
507,Male,45-54 Years,European,University Degree or Higher,Employed Full-time,"$30,001 - $50,000",30-39 Hours,"Drove a Car, Truck or Van",Ex-Smoker,Yes,Yes,MB03
508,Female,45-54 Years,European,Trade or Vocational,Employed Full-time,"$30,001 - $50,000",40-49 Hours,"Drove a Car, Truck or Van",Ex-Smoker,Yes,Yes,MB03
509,Female,55-64 Years,European,School Qualification,Employed Full-time,"$ 5,001 - $10,000",1-19 Hours,Did Not Travel to Work,Ex-Smoker,Yes,Yes,MB03
510,Male,45-54 Years,European,No Qualification,Employed Full-time,"$50,001 or More",40-49 Hours,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,No,MB03
511,Male,45-54 Years,Asian,School Qualification,Employed Full-time,"$50,001 or More",50 Hours or More,"Drove a Car, Truck or Van",Never Smoked Regularly,No,Yes,MB03
512,Female,55-64 Years,European,School Qualification,Employed Full-time,"$30,001 - $50,000",50 Hours or More,"Drove a Car, Truck or Van",Never Smoked Regularly,Yes,Yes,MB03
513,Male,35-44 Years,Other Ethnicity,Trade or Vocational,Employed Full-time,"$10,001 - $20,000",30-39 Hours,"Drove a Car, Truck or Van",Ex-Smoker,Yes,No,MB03
514,Male,45-54 Years,European,University Degree or Higher,Employed Full-time,"$30,001 - $50,000",40-49 Hours,Did Not Travel to Work,Never Smoked Regularly,Yes,No,MB03
515,Female,35-44 Years,Asian,School Qualification,Not Employed,"$ 5,001 - $10,000",Not Employed,Not Employed,Never Smoked Regularly,No,Yes,MB03
516,Male,45-54 Years,Maori,No Qualification,Employed Full-time,"$30,001 - $50,000",1-19 Hours,"Drove a Car, Truck or Van",Ex-Smoker,No,Yes,MB03
517,Female,45-54 Years,European,No Qualification,Not Employed,"$10,001 - $20,000",Not Employed,Not Employed,Never Smoked Regularly,No,Yes,MB03
